鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
南區,房地(土地+建物)+車位,臺中市南區建成路1621~1650號,22.61,商,,,1060824,土地2建物1車位1,四層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070921,160.38,2,2,2,有,有,9890000,72411,坡道平面,40.37,1200000,,RPUPMLRKJHOFFAB28CA
南區,房地(土地+建物)+車位,臺中市南區建成路1621~1650號,16.49,商,,,1060714,土地2建物1車位1,四層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070921,117.12,2,2,1,有,有,7800000,73241,坡道機械,20.18,700000,,RPVPMLRKJHOFFAB38CA
南區,房地(土地+建物)+車位,臺中市南區建成路1621~1650號,24.72,商,,,1070506,土地2建物1車位1,五層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070921,175.47,3,2,2,有,有,10880000,71281,坡道平面,40.37,1250000,,RPWPMLRKJHOFFAB48CA
南區,房地(土地+建物)+車位,臺中市南區建成路1621~1650號,24.72,商,,,1070213,土地2建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070921,175.47,3,2,2,有,有,11000000,72909,坡道平面,40.37,1150000,,RPXPMLRKJHOFFAB58CA
南區,房地(土地+建物)+車位,臺中市南區建成路1621~1650號,24.9,商,,,1061127,土地2建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070921,176.68,3,2,2,有,有,11220000,73509,坡道平面,40.37,1200000,,RPOQMLRKJHOFFAB77CA
南區,房地(土地+建物)+車位,臺中市南區建成路1621~1650號,18.68,商,,,1061023,土地2建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070921,132.39,2,2,1,有,有,7900000,72810,坡道平面,40.37,1200000,,RPPQMLRKJHOFFAB87CA
南區,房地(土地+建物)+車位,臺中市南區建成路1621~1650號,22.61,商,,,1060831,土地2建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070921,160.38,2,2,2,有,有,9500000,69578,坡道平面,40.37,1150000,,RPQQMLRKJHOFFAB97CA
南區,房地(土地+建物)+車位,臺中市南區建成路1621~1650號,24.9,商,,,1061209,土地2建物1車位1,七層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070921,176.68,3,2,2,有,有,11360000,74169,坡道平面,40.37,1250000,,RPRQMLRKJHOFFAB08CA
南區,房地(土地+建物)+車位,臺中市南區建成路1621~1650號,22.61,商,,,1060827,土地2建物1車位1,七層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070921,160.38,2,2,2,有,有,10200000,74160,坡道平面,40.37,1300000,,RPTQMLRKJHOFFAB28CA
南區,房地(土地+建物)+車位,臺中市南區建成路1621~1650號,19.36,商,,,1060915,土地2建物1車位1,七層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070921,137.31,2,2,1,有,有,8550000,75304,坡道平面,40.37,1250000,,RPUQMLRKJHOFFAB38CA
南區,房地(土地+建物)+車位,臺中市南區建成路1621~1650號,24.72,商,,,1070222,土地2建物1車位1,八層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070921,175.47,3,2,2,有,有,11120000,73797,坡道平面,40.37,1150000,,RPVQMLRKJHOFFAB48CA
南區,房地(土地+建物)+車位,臺中市南區建成路1621~1650號,15.81,商,,,1070110,土地2建物1車位1,八層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070921,112.21000000000001,2,2,1,有,有,7390000,74324,坡道機械,20.18,550000,,RPXQMLRKJHOFFAB68CA
南區,房地(土地+建物)+車位,臺中市南區建成路1621~1650號,22.15,商,,,1060922,土地2建物1車位1,八層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070921,157.19,2,2,2,有,有,10060000,74660,坡道平面,37.18,1100000,,RPPRMLRKJHOFFAB97CA
南區,房地(土地+建物)+車位,臺中市南區建成路1621~1650號,19.36,商,,,1061106,土地2建物1車位1,八層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070921,137.31,2,2,1,有,有,8550000,75820,坡道平面,40.37,1200000,,RPQRMLRKJHOFFAB08CA
南區,房地(土地+建物)+車位,臺中市南區建成路1621~1650號,24.9,商,,,1061124,土地2建物1車位1,九層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070921,176.68,3,2,2,有,有,11360000,74903,坡道平面,40.37,1150000,,RPRRMLRKJHOFFAB18CA
南區,房地(土地+建物)+車位,臺中市南區建成路1621~1650號,18.22,商,,,1061105,土地2建物1車位1,五層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070921,129.2,2,2,1,有,有,7980000,73680,坡道平面,37.18,1200000,,RPUNMLSKJHOFFAB18CA
南區,房地(土地+建物),臺中市南區南和一街16巷1~30號,27.13,住,,,1071114,土地1建物1車位0,一層，二層，三層,十二層,店面(店鋪),住商用,鋼筋混凝土造,0830718,152.77,3,2,2,有,有,5300000,34693,,0.0,0,,RPVPMLSKJHOFFAB48CA
南區,房地(土地+建物)+車位,臺中市南區建成路1621~1650號,22.61,商,,,1060917,土地2建物1車位1,五層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070921,160.38,2,2,2,有,有,9820000,72661,坡道平面,40.37,1100000,,RPROMLTKJHOFFAB08CA
南區,房地(土地+建物)+車位,臺中市南區建成路1621~1650號,15.81,商,,,1061005,土地2建物1車位1,九層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070921,112.21000000000001,2,2,1,有,有,7500000,74976,坡道機械,20.18,600000,,RPSOMLTKJHOFFAB18CA
南區,房地(土地+建物)+車位,臺中市南區建成路1621~1650號,22.61,商,,,1060821,土地2建物1車位1,九層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070921,160.38,2,2,2,有,有,10170000,74327,坡道平面,40.37,1250000,,RPTOMLTKJHOFFAB28CA
南區,房地(土地+建物)+車位,臺中市南區建成路1621~1650號,18.22,商,,,1061002,土地2建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070921,129.2,2,2,1,有,有,8000000,74984,坡道平面,37.18,1100000,,RPUOMLTKJHOFFAB38CA
東區,土地,練武段151~180地號,34.0,住,,,1071222,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2380000,70000,,0.0,0,向政府機關承購之案件。;,RPPNMLLLJHOFFAB07CA
東區,房地(土地+建物)+車位,臺中市東區建德街271~300號,24.13,住,,,1061203,土地2建物1車位1,五層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070905,147.5,3,2,2,有,有,8000000,54863,坡道平面,19.91,1000000,,RPUNMLLLJHOFFAB57CA
南區,房地(土地+建物)+車位,臺中市南區建成路1621~1650號,25.03,商,,,1060909,土地2建物1車位2,十層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070921,177.38,2,2,2,有,有,10750000,74988,坡道平面,57.36,1750000,,RPVNMLLLJHOFFAB67CA
南區,房地(土地+建物)+車位,臺中市南區建成路1621~1650號,16.49,商,,,1060720,土地2建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070921,117.12,2,2,1,有,有,8150000,76852,坡道機械,20.18,700000,,RPXNMLLLJHOFFAB87CA
東區,房地(土地+建物)+車位,臺中市東區建德街271~300號,24.13,住,,,1070408,土地2建物1車位1,七層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070905,150.81,3,2,2,有,有,8500000,57611,坡道平面,23.23,1150000,,RPOOMLLLJHOFFAB07CA
南區,房地(土地+建物)+車位,臺中市南區建成路1621~1650號,24.9,商,,,1060714,土地2建物1車位1,十一層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070921,176.68,3,2,2,有,有,11600000,75563,坡道平面,40.37,1300000,,RPPOMLLLJHOFFAB17CA
南區,房地(土地+建物)+車位,臺中市南區建成路1621~1650號,18.68,商,,,1070110,土地2建物1車位1,十一層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070921,132.39,2,2,1,有,有,8050000,75527,坡道平面,40.37,1100000,,RPQOMLLLJHOFFAB27CA
南區,房地(土地+建物)+車位,臺中市南區建成路1621~1650號,16.49,商,,,1060914,土地2建物1車位1,十一層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070921,117.12,2,2,1,有,有,7700000,73757,坡道機械,20.18,550000,,RPSOMLLLJHOFFAB47CA
