鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
八德區,房地(土地+建物)+車位,桃園市八德區金和路31~60號,16.13,商,,,1071212,土地1建物1車位1,十四層,二十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050412,213.47000000000003,3,2,2,有,有,15950000,77269,坡道平面,19.99,1000000,,RPVNMLOKJHOFFFH98CA
八德區,房地(土地+建物)+車位,桃園市八德區豐德二路31~60號,31.25,住,,,1071227,土地3建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071008,165.29000000000002,3,2,2,有,有,10100000,68669,坡道平面,36.41,1250000,,RPWNMLOKJHOFFFH09CA
八德區,房地(土地+建物)+車位,桃園市八德區豐德二路61~90號,18.93,住,,,1071209,土地3建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071008,115.44999999999999,2,2,1,有,有,5480000,53517,坡道平面,36.41,1250000,,RPXNMLOKJHOFFFH56CA
八德區,房地(土地+建物)+車位,桃園市八德區豐德二路31~60號,21.94,住,,,1071212,土地3建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071008,127.80000000000001,2,2,1,有,有,5950000,51428,坡道平面,36.41,1250000,,RPOOMLOKJHOFFFH38CA
八德區,房地(土地+建物),桃園市八德區瑞發街1~30號,102.01,,鄉村區,乙種建築用地,1071117,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0770621,180.3,5,1,5,有,無,11650000,64615,,0.0,0,,RPTNMLKKJHOFFFH38CA
八德區,房地(土地+建物)+車位,桃園市八德區建德路91~120號,36.3,住,,,1071104,土地1建物1車位1,十八層,二十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050901,190.27999999999997,4,2,2,有,有,13650000,77662,坡道平面,29.97,1200000,,RPVNMLTKJHOFFFH86CA
八德區,房地(土地+建物)+車位,桃園市八德區建德路91~120號,37.02,住,,,1071201,土地1建物1車位1,十九層,二十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050901,194.37,4,2,2,有,有,14430000,79258,坡道平面,29.97,1400000,,RPWNMLTKJHOFFFH96CA
八德區,房地(土地+建物),桃園市八德區桃德路427巷1~30號,72.14,農,,,1070905,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0890110,215.71,5,3,2,有,無,12500000,57948,,0.0,0,,RPROMLOKJHOFFFH68CA
八德區,房地(土地+建物)+車位,桃園市八德區山下街1~30號,24.56,,鄉村區,乙種建築用地,1071113,土地1建物1車位1,四層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070108,140.43,2,2,1,有,有,6190000,50955,坡道平面,42.5,1200000,,RPRNMLOLJHOFFFH68CA
八德區,房地(土地+建物)+車位,桃園市八德區中華路201巷1~30號,23.3,住,,,1070727,土地1建物1車位1,十層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070911,169.59,3,1,2,有,有,8580000,59568,坡道平面,44.02,1100000,土地及建物分次登記案件。前案土地登記收件字號：;,RPXNMLPLJHOFFFH76CA
平鎮區,房地(土地+建物),桃園市平鎮區東光路253巷1~30號,156.28,農,,,1071129,土地4建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0970320,292.81,5,2,4,有,有,11500000,39275,,0.0,0,,RPSNMLOKJHOFFGH78CA
平鎮區,土地,六和段331~360地號,156.67,住,,,1071220,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5300000,33829,,0.0,0,含增建或未登記建物。;,RPPOMLLKJHOFFGH28CA
平鎮區,房地(土地+建物)+車位,桃園市平鎮區環南路301巷1~30號,13.39,住,,,1071214,土地1建物1車位1,六層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841204,86.51,3,2,2,有,有,3800000,43926,坡道平面,0.0,0,,RPWPMLLKJHOFFGH09CA
平鎮區,房地(土地+建物)+車位,桃園市平鎮區延平路二段1~30號,9.09,住,,,1071223,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011029,99.97999999999999,2,2,1,有,有,5500000,55011,坡道機械,0.0,0,,RPWNMLTJJHOFFGH96CA
平鎮區,房地(土地+建物)+車位,桃園市平鎮區中庸路181~210號,21.64,住,,,1050925,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070928,166.26999999999998,3,2,2,有,無,8000000,48132,坡道平面,27.07,1300000,,RPWNMLKKJHOFFGH78CA
平鎮區,房地(土地+建物)+車位,桃園市平鎮區中庸路181~210號,21.26,住,,,1050707,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070928,163.73000000000002,2,2,2,有,無,8300000,51222,坡道平面,27.07,1300000,,RPRNMLLKJHOFFGH38CA
平鎮區,房地(土地+建物)+車位,桃園市平鎮區中庸路181~210號,20.38,住,,,1070114,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070928,158.09,3,2,2,有,無,7900000,51519,坡道平面,27.07,1150000,,RPSNMLLKJHOFFGH48CA
平鎮區,房地(土地+建物)+車位,桃園市平鎮區中庸路211~240號,14.76,住,,,1050528,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070928,121.71,2,2,1,有,無,6000000,49134,坡道平面,27.07,1350000,,RPTNMLLKJHOFFGH58CA
平鎮區,房地(土地+建物)+車位,桃園市平鎮區中庸路181~210號,21.26,住,,,1070504,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070928,163.73000000000002,2,2,1,有,無,7900000,47929,坡道平面,27.07,1350000,,RPUNMLLKJHOFFGH68CA
龜山區,房地(土地+建物),桃園市龜山區幸福三街1~30號,19.34,,鄉村區,乙種建築用地,1071201,土地2建物1車位0,四層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700725,89.88,3,2,2,有,無,2600000,28927,,0.0,0,,RPQNMLLKJHOFFHH38CA
龜山區,房地(土地+建物),桃園市龜山區茶專路202巷1~30號,45.82,,山坡地保育區,丙種建築用地,1071206,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0821020,98.22,3,2,2,有,有,2800000,28507,,0.0,0,,RPPNMLTJJHOFFHH98CA
桃園區,土地,大樹林段751~780地號,149.25,其他,,,1071205,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4000000,26801,,0.0,0,,RPUQMLTJJHOFFAH56DA
桃園區,土地,大樹林段751~780地號,149.25,其他,,,1071211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4000000,26801,,0.0,0,,RPWQMLTJJHOFFAH76DA
桃園區,房地(土地+建物),桃園市桃園區國聖二街1~30號,21.41,住,,,1071128,土地1建物1車位0,九層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880902,121.4,3,2,2,有,有,8600000,70840,,0.0,0,,RPTOMLOKJHOFFAH48DA
龜山區,房地(土地+建物)+車位,桃園市龜山區萬壽路二段1411~1440號,28.34,住,,,1061002,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1071026,183.42000000000002,4,2,2,有,無,12910000,73368,坡道平面,31.31,1750000,,RPSNMLLMJHOFFHH78CA
龜山區,房地(土地+建物)+車位,桃園市龜山區萬壽路二段1411~1440號,19.2,住,,,1060923,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1071026,123.31,2,2,2,有,無,9050000,78804,坡道平面,31.31,1800000,,RPUNMLLMJHOFFHH98CA
龜山區,房地(土地+建物)+車位,桃園市龜山區萬壽路二段1411~1440號,19.2,住,,,1060928,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1071026,123.31,2,2,2,有,無,8480000,72609,坡道平面,31.31,1800000,,RPVNMLLMJHOFFHH09CA
龜山區,房地(土地+建物),桃園市龜山區萬壽路二段1411~1440號,18.93,住,,,1070620,土地1建物1車位0,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1071026,121.02,3,2,2,有,無,10000000,82631,,0.0,0,,RPWNMLLMJHOFFHH56CA
龜山區,房地(土地+建物)+車位,桃園市龜山區萬壽路二段1411~1440號,24.0,住,,,1070408,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1071026,154.07,3,2,2,有,無,10320000,69404,坡道平面,31.31,1800000,,RPXNMLLMJHOFFHH66CA
龜山區,房地(土地+建物),桃園市龜山區萬壽路二段1411~1440號,19.06,住,,,1070605,土地1建物1車位0,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1071026,121.88000000000001,3,2,2,有,無,10140000,83197,,0.0,0,1.買賣雙方自行訂約交付價款2.露台可使用,RPOOMLLMJHOFFHH48CA
龜山區,房地(土地+建物)+車位,桃園市龜山區萬壽路二段1411~1440號,23.46,住,,,1070517,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1071026,150.59,3,2,2,有,無,10200000,71261,坡道平面,31.31,1700000,,RPPOMLLMJHOFFHH58CA
龜山區,房地(土地+建物)+車位,桃園市龜山區萬壽路二段1411~1440號,23.46,住,,,1070201,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1071026,150.59,3,2,2,有,無,10550000,73357,坡道平面,31.31,1800000,,RPROMLLMJHOFFHH78CA
龜山區,房地(土地+建物)+車位,桃園市龜山區萬壽路二段1411~1440號,24.0,住,,,1060928,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1071026,154.07,3,2,2,有,無,10880000,74373,坡道平面,31.31,1750000,,RPSOMLLMJHOFFHH88CA
龜山區,房地(土地+建物),桃園市龜山區文化七路91~120號,9.54,商,,,1071216,土地1建物1車位0,二層,九層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0851231,55.629999999999995,1,1,1,有,有,4300000,77296,,0.0,0,,RPTNMLRKJHOFFHH66CA
龜山區,土地,牛角坡段樟腦寮小段181~210地號,2810.1,農,,,1071207,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,170000000,60496,,0.0,0,,RPRNMLSKJHOFFHH56CA
中壢區,房地(土地+建物)+車位,桃園市中壢區環北路331~360號,12.15,住,,,1070915,土地1建物1車位1,三層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980629,166.22,2,1,2,有,有,13940000,91596,坡道平面,32.59,1700000,,RPPQMLOKJHOFFBH38DA
中壢區,房地(土地+建物)+車位,桃園市中壢區環北路331~360號,12.07,住,,,1070915,土地1建物1車位1,三層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980629,164.17,3,1,2,有,有,13940000,93023,坡道平面,32.59,1700000,,SPPQMLOKJHOFFBH48DA
