鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
鼓山區,房地(土地+建物)+車位,高雄市鼓山區龍德路271~300號,23.22,商,,,1071121,土地1建物1車位2,十九層,三十六層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1030626,437.78999999999996,4,2,3,有,有,24080000,55004,坡道平面,44.04,0,,RPVNMLKKJHOFFAE77CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術南一街1~30號,33.41,住,,,1071216,土地1建物1車位2,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920108,281.27,5,2,3,有,有,16000000,56885,坡道機械,25.34,0,,RPPNMLKKJHOFFAE17CA
鼓山區,房地(土地+建物),高雄市鼓山區美術東六街61~90號,11.4,住,,,1071211,土地1建物1車位0,一層,十五層,店面(店鋪),見其它登記事項,見其它登記事項,1050921,95.89,0,0,1,無,有,13600000,141829,,0.0,0,,RPQNMLKKJHOFFAE27CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區華榮路211~240號,10.07,商,,,1071219,土地1建物1車位1,十一層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0790420,158.13,4,2,2,有,有,8000000,50591,坡道平面,0.0,0,,RPWNMLTJJHOFFAE68CA
鹽埕區,房地(土地+建物)+車位,高雄市鹽埕區七賢二路421~450號,8.55,商,,,1070911,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1071107,132.87,2,1,1,有,有,6200000,53050,坡道平面,49.93,1800000,預售屋,RPRNMLLKJHOFFAE47CA
鹽埕區,房地(土地+建物)+車位,高雄市鹽埕區七賢二路421~450號,8.55,商,,,1071206,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1071107,92.14,2,1,1,有,有,5750000,50145,其他,9.38,1600000,,RPSNMLLKJHOFFAE57CA
鹽埕區,房地(土地+建物),高雄市鹽埕區七賢二路421~450號,7.94,商,,,1071127,土地1建物1車位0,十二層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1071107,77.34,2,1,1,有,有,4580000,59219,,0.0,0,,RPUNMLLKJHOFFAE77CA
鹽埕區,房地(土地+建物),高雄市鹽埕區七賢二路421~450號,9.16,商,,,1070710,土地1建物1車位0,十四層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1071107,88.64,2,1,1,有,有,5150000,58100,,0.0,0,預售屋,RPVNMLLKJHOFFAE87CA
鹽埕區,房地(土地+建物),高雄市鹽埕區七賢二路421~450號,8.09,商,,,1070205,土地1建物1車位0,四層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1071107,78.84,2,1,1,有,有,4620000,58600,,0.0,0,預售屋,RPWNMLLKJHOFFAE97CA
鹽埕區,房地(土地+建物),高雄市鹽埕區新樂街241~270號,11.64,商,,,1071227,土地2建物1車位0,一層，騎樓,九層,華廈(10層含以下有電梯),,鋼筋混凝土造,0690124,70.84,0,0,0,無,有,3000000,42349,,0.0,0,含增建或未登記建物。;有民情風俗因素之交易。;,RPTNMLMLJHOFFAE87CA
