鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術北三路91~120號,14.76,商,,,1071115,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,950808.0,154.69,3,2,2,有,有,9500000,58013.0,坡道平面,16.79,1500000,,RPUOMLLKJHOFFAE87CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區裕誠路1141~1170號,10.53,商,,,1071202,土地1建物1車位1,十三層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,830629.0,147.07,3,2,2,有,有,6500000,44197.0,坡道平面,0.0,0,含增建或未登記建物。;,RPTOMLPKJHOFFAE18CA
鼓山區,房地(土地+建物),高雄市鼓山區明誠三路451~480號,8.09,商,,,1071209,土地1建物1車位0,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,950626.0,79.06,2,1,1,有,有,5150000,65140.0,,0.0,0,,RPROMLPKJHOFFAE97CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區龍勝路91~120號,18.42,商,,,1071209,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,940513.0,188.27,4,2,2,有,有,13000000,69050.0,坡道平面,0.0,0,,RPTPMLMLJHOFFAE08CA
鼓山區,房地(土地+建物),高雄市鼓山區裕國街331~360號,9.59,住,,,1071127,土地1建物1車位0,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,931104.0,80.73,2,2,1,有,有,5450000,67509.0,,0.0,0,,RPTOMLNLJHOFFAE08CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區明華路1~30號,20.03,住,,,1071209,土地1建物1車位1,十一層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840126.0,152.75,3,2,2,有,有,7230000,47332.0,坡道平面,0.0,0,,RPWNMLKKJHOFFAE87CA
鼓山區,房地(土地+建物),高雄市鼓山區華寧路31~60號,18.78,住,,,1071218,土地1建物1車位0,四層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,830721.0,124.85,3,2,2,有,有,5660000,45334.0,,0.0,0,,RPSNMLSJJHOFFAE18CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術東四路361~390號,56.66,住,,,1071106,土地1建物1車位3,十層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,971014.0,477.02,3,2,4,有,有,38680000,81087.0,坡道平面,79.14,0,,RPROMLSJJHOFFAE18CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區龍勝路151~180號,11.59,商,,,1071130,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,950809.0,105.78,2,1,1,有,有,5800000,54831.0,坡道平面,26.27,0,,RPPNMLTJJHOFFAE97CA
前金區,房地(土地+建物)+車位,高雄市前金區自強二路1~30號,9.47,商,,,1071107,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,960208.0,133.94,3,2,2,有,有,10200000,76154.0,坡道機械,10.6,0,土地及建物分次登記案件。前案土地登記收件字號：;,RPTNMLTJJHOFFAE38CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術東六街121~150號,17.82,商,,,1071031,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,951101.0,196.51,4,2,2,有,有,9300000,47326.0,坡道平面,0.0,0,,RPXNMLRJJHOFFAE58CA
鼓山區,房地(土地+建物),高雄市鼓山區裕國街151~180號,9.29,住,,,1071020,土地1建物1車位0,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,940909.0,78.99,2,2,1,有,有,5000000,63299.0,,0.0,0,,RPOOMLSJJHOFFAE87CA
